unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1648872000000,2022-04-02 04:00:00,BTC/JPY,5708338.03584003,5715810.96528003,5696400.00000042,5705242.89881793,7026174.478140364,1.23152942
1648868400000,2022-04-02 03:00:00,BTC/JPY,5698100.00000019,5705100.00000061,5684199.9999994,5705100.00000061,4349997.948132465,0.76247532
1648864800000,2022-04-02 02:00:00,BTC/JPY,5733299.99999996,5740000.00000021,5669599.99999943,5703164.09765023,29336590.893111356,5.14391492
1648861200000,2022-04-02 01:00:00,BTC/JPY,5747899.99999993,5761100.00000031,5700999.99999943,5732699.99999961,22721556.564652454,3.96350002
1648857600000,2022-04-02 00:00:00,BTC/JPY,5672199.99999973,5786400.00000041,5650000.00000021,5748300.00000017,59713867.92149278,10.38809177
1648854000000,2022-04-01 23:00:00,BTC/JPY,5682099.9999994,5682099.9999994,5654500.0000004,5672199.99999973,7016369.708443666,1.23697502
1648850400000,2022-04-01 22:00:00,BTC/JPY,5678599.9999998,5685900.0000004,5659699.99999977,5682699.99999975,10762378.414208528,1.89388467
1648846800000,2022-04-01 21:00:00,BTC/JPY,5660500.00000045,5690300.00000052,5659600.00000004,5675800.00000061,35674120.55384184,6.2853026100000005
1648843200000,2022-04-01 20:00:00,BTC/JPY,5678899.99999983,5684500.00000031,5652999.99999964,5660199.9999995,35491914.885150865,6.27043477
1648839600000,2022-04-01 19:00:00,BTC/JPY,5682900.00000001,5688337.03984002,5655499.99999968,5684099.99999986,42573998.97930195,7.49001583
1648836000000,2022-04-01 18:00:00,BTC/JPY,5694699.99999998,5708599.99999967,5673299.99999945,5683799.99999996,30350458.571483787,5.33981818
1648832400000,2022-04-01 17:00:00,BTC/JPY,5644200.00000045,5702600.00000029,5623199.99999991,5693099.99999993,41250124.618499495,7.245635
1648828800000,2022-04-01 16:00:00,BTC/JPY,5707300.00000025,5711299.99999958,5644399.99999968,5644399.99999968,50266859.232617155,8.90561605
1648825200000,2022-04-01 15:00:00,BTC/JPY,5670199.99999972,5744200.00000042,5670199.99999972,5705399.99999981,100104524.17553668,17.5455751
1648821600000,2022-04-01 14:00:00,BTC/JPY,5587934.57699998,5676000.0,5587565.67149998,5669900.00000042,119219201.16811083,21.02668498
1648818000000,2022-04-01 13:00:00,BTC/JPY,5561000.00000027,5606357.7965616,5554376.99653597,5589000.00000012,67600182.67974146,12.09521966
1648814400000,2022-04-01 12:00:00,BTC/JPY,5515599.99999966,5570599.9999997,5480064.99299999,5560000.00000015,113614464.36080307,20.434256180000002
1648810800000,2022-04-01 11:00:00,BTC/JPY,5538800.0000001,5545199.99999995,5512199.99999969,5521300.0000001,25319204.576185457,4.58573245
1648807200000,2022-04-01 10:00:00,BTC/JPY,5521199.99999998,5538600.00000006,5514200.00000061,5538600.00000006,27442466.358354297,4.95476589
1648803600000,2022-04-01 09:00:00,BTC/JPY,5532900.00000038,5543600.00000021,5511899.99999964,5521699.99999968,67230438.7278311,12.17567755
1648800000000,2022-04-01 08:00:00,BTC/JPY,5518299.99999949,5557499.99999974,5517993.705946,5532599.9999997,71466778.08319412,12.91739473
1648796400000,2022-04-01 07:00:00,BTC/JPY,5489399.99999974,5530200.00000024,5489399.99999974,5518700.00000026,80463149.91250078,14.58009131
1648792800000,2022-04-01 06:00:00,BTC/JPY,5468400.00000053,5490699.99999995,5456799.99999968,5486400.00000059,55457138.37989397,10.10811067
1648789200000,2022-04-01 05:00:00,BTC/JPY,5474300.0000005,5491799.99999997,5459900.00000009,5467499.99999952,55098677.12174517,10.0774901
1648785600000,2022-04-01 04:00:00,BTC/JPY,5471300.00000023,5489899.99999981,5469403.56949797,5475200.00000042,64184419.57994093,11.722753430000001
1648782000000,2022-04-01 03:00:00,BTC/JPY,5437799.99999992,5473600.00000054,5430399.99999943,5473600.00000054,79470879.01544784,14.51894165
1648778400000,2022-04-01 02:00:00,BTC/JPY,5494714.30507003,5512500.00000044,5422499.99999992,5442718.22702512,163579469.50465676,30.05473785
1648774800000,2022-04-01 01:00:00,BTC/JPY,5565026.60771018,5565026.60771018,5485599.99999957,5496400.00000018,83413136.98026672,15.17595826
1648771200000,2022-04-01 00:00:00,BTC/JPY,5544899.99999957,5567800.00000029,5533299.9999999,5566099.99999981,49882534.304597296,8.96184659
1648767600000,2022-03-31 23:00:00,BTC/JPY,5575400.0,5575700.00000025,5505900.00000003,5541299.99999978,35456031.82217559,6.39850429
1648764000000,2022-03-31 22:00:00,BTC/JPY,5571999.9999996,5582100.0000004,5563999.99999992,5577600.00000024,51997934.38627424,9.32263597
1648760400000,2022-03-31 21:00:00,BTC/JPY,5567900.00000045,5581200.00000025,5557599.99999992,5572399.99999973,26870005.1412307,4.82198068
1648756800000,2022-03-31 20:00:00,BTC/JPY,5548799.99999988,5574300.00000046,5541899.99999987,5569800.0000004,28632517.412012056,5.14067245
1648753200000,2022-03-31 19:00:00,BTC/JPY,5588399.99999976,5591199.99999991,5532299.99999971,5549300.00000021,163550862.2442642,29.47234106
1648749600000,2022-03-31 18:00:00,BTC/JPY,5568299.99999985,5595300.00000038,5547799.99999997,5588611.01551477,61547519.92667554,11.013026270000001
1648746000000,2022-03-31 17:00:00,BTC/JPY,5557400.00000052,5582299.99999964,5554100.00000038,5570900.00000009,27592494.834973447,4.95296897
1648742400000,2022-03-31 16:00:00,BTC/JPY,5639699.99999969,5644199.99999989,5558000.00000022,5558000.00000022,78522005.3205031,14.12774475
1648738800000,2022-03-31 15:00:00,BTC/JPY,5665499.99999999,5679100.00000017,5631800.00000029,5639300.00000022,65233387.34581154,11.56763913
1648735200000,2022-03-31 14:00:00,BTC/JPY,5708099.99999986,5708099.99999986,5621799.99999981,5670400.00000005,181811354.6453776,32.06323269
1648731600000,2022-03-31 13:00:00,BTC/JPY,5773799.99999989,5798100.00000044,5708198.654462,5708198.654462,113913313.12871164,19.95608773
1648728000000,2022-03-31 12:00:00,BTC/JPY,5737599.99999963,5786699.99999987,5736100.0000006,5768100.00000007,99373995.8785092,17.22820268
1648724400000,2022-03-31 11:00:00,BTC/JPY,5758720.12365525,5758720.12365525,5731182.35364598,5735699.99999944,46413866.74561647,8.09210153
1648720800000,2022-03-31 10:00:00,BTC/JPY,5770200.00000052,5776099.99999982,5752246.83025797,5758999.99999984,37672575.958548956,6.54151345
1648717200000,2022-03-31 09:00:00,BTC/JPY,5771399.99999941,5774400.00000001,5748599.9999995,5770699.9999997,37725083.394425035,6.53734961
1648713600000,2022-03-31 08:00:00,BTC/JPY,5736700.00000018,5774699.9999997,5733024.10721999,5769600.00000002,77353913.52595226,13.40715362
1648710000000,2022-03-31 07:00:00,BTC/JPY,5728481.81315385,5737999.99999948,5714899.99999994,5736700.00000018,71583099.63357224,12.4780971
1648706400000,2022-03-31 06:00:00,BTC/JPY,5749000.0000001,5750346.94947002,5728549.03863198,5731299.99999946,103390449.51871325,18.03961571
1648702800000,2022-03-31 05:00:00,BTC/JPY,5748100.00000059,5758839.89037503,5735299.99999944,5749599.9999998,29491764.28877497,5.12935931
1648699200000,2022-03-31 04:00:00,BTC/JPY,5761699.99999958,5765400.00000035,5743900.00000019,5748300.0000006,22523589.24000535,3.91830441
1648695600000,2022-03-31 03:00:00,BTC/JPY,5764600.00000008,5771799.99999952,5753299.9999995,5757400.00000035,14470917.800284881,2.51344666
1648692000000,2022-03-31 02:00:00,BTC/JPY,5787799.99999952,5788100.00000019,5760599.99999989,5764791.11588797,24216577.371416364,4.20077274
1648688400000,2022-03-31 01:00:00,BTC/JPY,5769699.99999946,5787700.00000051,5769599.99999981,5787199.99999939,79482983.89538363,13.73427286
1648684800000,2022-03-31 00:00:00,BTC/JPY,5744700.00000033,5781355.97020803,5728000.00000055,5770900.00000021,141585293.80349314,24.53435232
1648681200000,2022-03-30 23:00:00,BTC/JPY,5740699.99999986,5755699.99999968,5738300.00000057,5742899.99999964,11694376.614815267,2.03631904
1648677600000,2022-03-30 22:00:00,BTC/JPY,5724656.19554999,5740500.00000053,5713800.00000052,5740500.00000053,30660049.24837783,5.34100675
1648674000000,2022-03-30 21:00:00,BTC/JPY,5757700.00000049,5762399.99999971,5713100.00000054,5723999.99999994,63263271.55535934,11.05228364
1648670400000,2022-03-30 20:00:00,BTC/JPY,5733900.00000021,5759299.99999976,5727599.99999987,5758299.99999961,14261998.107838035,2.47677233
1648666800000,2022-03-30 19:00:00,BTC/JPY,5736599.99999956,5746999.99999996,5711216.14333597,5732499.99999987,60864805.79454861,10.61749774
1648663200000,2022-03-30 18:00:00,BTC/JPY,5811899.9999999,5811899.9999999,5735000.00000059,5739299.99999942,24901470.865275484,4.33876446
1648659600000,2022-03-30 17:00:00,BTC/JPY,5761072.38299997,5811100.0000006,5753199.99999976,5802700.00000003,34308804.890733175,5.91255879
1648656000000,2022-03-30 16:00:00,BTC/JPY,5750500.00000057,5770800.00000003,5739200.00000048,5765699.99999997,34380793.915271826,5.96298696
1648652400000,2022-03-30 15:00:00,BTC/JPY,5747200.0,5751799.99999968,5722399.99999956,5750600.00000022,40929693.07888157,7.1174648000000005
1648648800000,2022-03-30 14:00:00,BTC/JPY,5724699.99999985,5756100.00000058,5713699.9999995,5748499.99999965,66556585.981795944,11.5780788
1648645200000,2022-03-30 13:00:00,BTC/JPY,5764014.34990601,5764100.00000042,5715278.259912,5724200.00000022,345578943.1692093,60.37157038
1648641600000,2022-03-30 12:00:00,BTC/JPY,5761643.53201602,5764400.0000003,5744106.72897398,5764400.0000003,75734226.52537994,13.13826704
1648638000000,2022-03-30 11:00:00,BTC/JPY,5763699.99999942,5782600.00000047,5739300.0000001,5761300.00000043,41523372.9551541,7.20729227
1648634400000,2022-03-30 10:00:00,BTC/JPY,5757599.79026298,5770399.99999952,5753999.9999998,5764000.00000051,110546578.99120979,19.1787958
1648630800000,2022-03-30 09:00:00,BTC/JPY,5770919.64631597,5775876.48638923,5750800.00000049,5760800.00000055,99668357.36587353,17.30113133
1648627200000,2022-03-30 08:00:00,BTC/JPY,5769091.15294622,5785300.00000045,5746899.99999953,5770800.00000035,85681624.9877332,14.847443160000001
1648623600000,2022-03-30 07:00:00,BTC/JPY,5778899.9999998,5793799.99999957,5766299.99999941,5768999.99999996,188353925.2916087,32.64931969
1648620000000,2022-03-30 06:00:00,BTC/JPY,5787600.00000047,5801199.99999994,5764799.99999991,5778500.00000012,59530679.36042624,10.30209905
1648616400000,2022-03-30 05:00:00,BTC/JPY,5753199.99999974,5792899.99999953,5748800.0000006,5785999.99999983,31198219.85103908,5.39201864
1648612800000,2022-03-30 04:00:00,BTC/JPY,5773199.99999961,5775599.99999941,5739300.00000015,5753199.99999974,55706644.78266549,9.68272349
